Country;Store;Store Name;Address;Postal code;City;Region;Latitude;Longitude
FR;FR0204;Paris, Rue de Rivoli 74;74, Rue de Rivoli;75004;Paris;1;48,896216;2,0389999
FR;FR0207;Normal Bayonne;;13500;Paris;7;43,4814004;-1,4456835
FR;FR0208;Roanne, Rue Charles de Gaulle;;13500;Paris;12;46,0377617;4,0691887
FR;FR0209;Paris, Rue d'Alesia 123;;;;11;48,8290292;2,3229597
FR;FR0211;Lyon, Rue de la République 28;Rue de la République 28;69002;Lyon;12;45,761774;4,8355278
FR;FR0213;Moiselles, Modo;1 Route Nationale;95570;Moiselles;3;49,0548369;2,3298264
FR;FR0214;Meaux, Les Saisons de Meaux;3 Av. Roland Moreno;77124;Chauconin-Neufmontiers;1;;
FR;FR0215;Pontault-Combault, Carrefour;;77340;Pontault-Combault;1;48,7772018;2,6031503
FR;FR0216;Aurillac, Rue Emile Duclaux;;13500;Paris;12;44,9291045;2,4447129
FR;FR0217;Boulogne sur Mer;1001 Boulevard du Kent;62902;Coquelles;2;50,7235066;1,6016122
FR;FR0219;Le Chesnay, Parly 2;2 Av. Charles de Gaulle;78150;Le Chesnay-Rocquencourt;5;;
FR;FR0222;;;78370;Plaisir;5;48,8752163;2,3201104
FR;FR0225;Marseille;Marseille, Rue de Rome 2A;13001;Marseille;4;43,2952258;5,3755332
FR;FR0226;Vaulx en Velin;;77090;Collégien;12;;
FR;FR0228;;;14120;Mondeville;7;;
FR;FR0230;Mulhouse, Ile Napoléon;Av. de Fribourg;68100;Illzach;6;;
FR;FR0231;Marseille, Rue de la République;Rue de la République 29-31;13002;Marseille;10;;
FR;FR0235;Paris Av Jean Jaurès;136 Avenue Jean Jaurès;75019;Paris;3;;
FR;FR0236;Marseille Rue de Rome;Rue de Rome 132;13006;Marseille;4;;
FR;FR0237;Périgueux marsac;;;;7;;
FR;FR0239;Compiégne, Rue Solferino;23 Rue Solférino;60200;Compiégne;3;;
FR;FR0241;Macon, Place aux Herbes;40 Place aux Herbes;71000;Macon;12;46,3053249;4,8291228
FR;FR0242;Le Mans, Maine Street;;77410;Claye-Souilly;8;;
FR;FR0244;;Chemin de la Grande Campagne;13480;Cabriès;4;;
FR;FR0246;Melun, Pl André Levy;77000;77000;Melun;1;;
FR;FR0247;Dax, Grand Mail;;75013;Paris;7;;
FR;FR0252;Levallois-Perret, Rue Henri Barbusse;2-4 Rue Henri Barbusse;;Levallois-Perret;5;;
FR;FR0254;;;13480;Cabriès;11;;
FR;FR0257;Montauban, Leclerc Aussonne;445 Rte du N;82000;Montauban;7;;
FR;FR0259;Cherbourg, Les Eleis;Quai de l'Entrepôt;50100;Cherbourg-en-Cotentin;8;;
FR;FR0261;Villefranche, Rue d'Anse;61 Rue d'Anse;69480;Villefranche-sur-Saone;12;;
FR;FR0268;Chambéry;;;;12;;
FR;FR0269;Toulouse, Saint-Georges;51 bis Rue du Rem Saint-Etienne;31000;Toulouse;7;;
FI;FI0101;Espoo, Sello;Leppävaarankatu 3-9;2600;Espoo;6;60,2185937;24,8086214
FI;FI0102;Tampere, Koskikeskus;Hatanpään Valtatie 1;33100;Tampere;2;61,4956496;23,7647998
FI;FI0103;Tampere, Ratina;Vuolteenkatu 1;33100;Tampere;2;61,4930282;23,7658152
FI;FI0104;Helsinki, Forum;Mannerheimintie 20;100;Helsinki;1;60,1692587;24,9365423
FI;FI0105;Helsinki, Mall of Tripla;Firdonkatu 2B;520;Helsinki;1;60,198662;24,9274848
FI;FI0106;Helsinki, ITIS;Itäkatu 1-7;930;Helsinki;1;60,2116567;25,0804221
FI;FI0107;Espoo, Iso Omena;Siltakatu 11;2770;Espoo;6;60,1611683;24,7349506
FI;FI0108;Raisio, Mylly;;70800;Empty;2;61,3622202;23,793538
FI;FI0109;Raisio, Mylly;Myllynkatu 1;21280;Raisio;5;60,4908029;22,1988334
FI;FI0110;Espoo, Lippulaiva;Espoonlahdenkatu 4;2320;Espoo;6;60,1490235;24,6539532
FI;FI0111;Helsinki, Citycenter;;100;Helsinki;1;60,1697977;24,9397937
FI;FI0113;Salo, Plaza;Vilhonkatu 8;24100;Salo;5;60,3863659;23,1218699
FI;FI0114;Turku, Hansakortteli;Yliopistonkatu 20;20100;Turku;5;60,4501332;22,2616766
FI;FI0115;Kuopio, Matkus;Matkuksentie 60;70800;Kuopio;3;62,8234704;27,5977567
FI;FI0116;Espoo Entresse;Siltakatu 11;2770;Espoo;6;60,2037099;24,6571351
FI;FI0117;Seinäjoki, Ideapark;;60320;Seinäjoki;2;62,7922956;22,7992249
FI;FI0118;Vaasa, Espen;;60320;Seinäjoki;2;63,0962908;21,6155028
FI;FI0119;Lahti, Karisma;Kauppiaankatu 2;15160;Lahti;3;60,9815433;25,7350613
FI;FI0120;Lappeenranta, IsoKristiina;Kaivokatu 5;53100;Lappeenranta;3;61,0568137;28,1911342
FI;FI0121;Helsinki, Kamppi;Urho Kekkosen katu 1;100;Helsinki;1;60,1691594;24,9310387
FI;FI0122;Jyväskylä, Forum;Kauppakatu 20-22;40100;Jyväskylä;3;62,2413603;25,7454973
FI;FI0123;Hyvinkää, Willa;Torikatu 7;5800;Hyvinkää;5;60,6318655;24,8631919
FI;FI0124;Oulu, Ideapark;;90540;Oulu;4;65,0775978;25,4448002
FI;FI0126;Kokkola, Chydenia;Rantakatu 2-4;67100;Kokkola;4;63,835663;23,1311734
FI;FI0127;Hämeenlinna, Goodman;Kaivokatu 7;13100;Hämeenlinna;5;60,9944168;24,454764
FI;FI0128;Lahti, Trio;Aleksanterinkatu 20;15140;Lahti;3;60,9830665;25,6610598
FI;FI0129;Kempele, Zeppelin;;930;Helsinki;4;64,9020776;25,5363619
FI;FI0130;Kuopio, Aapeli;Kuopio;70800;Empty;3;62,8913098;27,6758317
FI;FI0131;Espoo, Ainoa;Länsituulentie 5;2100;Espoo;6;60,1754372;24,8013196
FI;FI0132;Pori, Puuvilla;Siltapuistokatu 14;28100;Pori;2;61,494203;21,7980944
FI;FI0134;Pori, IsoKarhu;Yrjönkatu 14;28100;Pori;2;61,4842553;21,7983036
FI;FI0135;Turku, Skanssi;Skanssinkatu 10;20730;Turku;5;60,4301814;22,3199108
FI;FI0136;Helsinki, Columbus;Firdonkatu 2 T 63;520;Helsinki;1;60,2069169;25,1441938
FI;FI0137;Imatra, Koskitori;Einonkatu 6;55100;Imatra;3;61,1706461;28,7665022
FI;FI0138;Mariehamn, Sittkoff Gallerian;Torggatan 13;22100;Mariehamn;5;60,0988324;19,9406141
FI;FI0139;Joensuu, Iso Myy;Torikatu 25;80100;Joensuu;3;62,6017766;29,7617263
FI;FI0140;Jyväskyla, Seppä;Ahjokatu 5;40320;Jyväskylä;3;62,2560093;25,7750673
FI;FI0141;Helsinki, Hertsi;Linnanrakentajantie 2;880;Helsinki;1;60,1940369;25,0311558
FI;FI0142;Vantaa, Myyrmanni;Kivivuorentie 4;1620;Vantaa;6;60,2601432;24,8534583
FI;FI0143;Porvoo, Lundi;Lundinkatu 12 b;6100;Porvoo;1;60,3936521;25,6620748
FI;FI0144;Tornio, Rajalla;Länsiranta 10;95400;Tornio;4;65,8430199;24,1436944
FI;FI0145;Helsinki, Malmin Nova;Malminkaari 13-19;700;Helsinki;1;60,2509133;25,012299
FI;FI0146;Tampere, Hämeenkatu;Hämeenkatu 7;33100;Tampere;2;61,4981152;23,7690108
FI;FI0147;Seinäjoki, Megakeskus;Keskuskatu 3;60100;Seinäjoki;2;62,7916698;22,838618
FI;FI0148;Vantaa, Martinlaakson;;2230;Espoo;6;60,279;24,852215
FI;FI0149;Forssa, Prisma;Tapulikuja 6;30100;Forssa;5;60,8119252;23,6388212
FI;FI0150;Ylojärvi, Elo;Elotie 1;33470;Ylöjärvi;2;61,553721;23,5741949
FI;FI0151;Savonlinna, Kristalli;Olavinkatu 50;57100;Savonlinna;3;61,8702067;28,8772938
FI;FI0152;Helsinki, Hakaniemi;Siltasaarenkatu 14;530;Helsinki;1;60,1790764;24,946925
FI;FI0153;Helsinki, Yliopistonkatu;Yliopistonkatu 5;100;Helsinki;1;60,1700639;24,94715
FI;FI0154;Kotka, Pasaati;Keskuskatu 10;48100;Kotka;3;60,4665076;26,9436437
FI;FI0155;Rovaniemi, Revontuli;Koskikatu 27 B;96200;Rovaniemi;4;66,5029356;25,7246333
FI;FI0156;Iisalmi, Torikulma;Satamakatu 10-12;74100;Iisalmi;4;63,5560639;27,1900014
FI;FI0158;Tuuri, Tuurin Kauppakylä;Onnentie 6;63610;Tuuri;2;62,6013547;23,7283331
FI;FI0159;Lahti, Syke;Kauppakatu 18;15140;Lahti;3;60,987094;25,6645577
FI;FI0160;Riihimäki, Atomi;;;;5;60,7327084;24,7795848
FI;FI0162;Oulu, Pekuri;Kauppurienkatu 10;90100;Oulu;4;;
FI;FI0163;Rauma, Potkur;;60100;Seinäjoki;2;61,1278869;21,5041021
FI;FI0164;Armada, Lappeenranta;;40320;Jyväskylä;3;61,059179;28,1824033
FI;FI0165;;;50100;Mikeli;3;;
FI;FI0166;Pori, Icco;Itäkeskuksenkaari 8;28130;Pori;2;;
FI;FI0168;Jyväskylä, Keljokeskus;Kylmälahdentie 6;40500;Jyväskylä;3;;
FI;FI0169;Helsinki, Myllypuron Ostari;;580;Helsinki;1;;
